Actual,Predicted
230000,169448.36099270044
159000,157126.0799675425
127000,119452.86539765034
252000,263147.3167876359
198500,201114.15270233736
98000,112965.69256360986
148500,153346.64029622806
82000,60709.06811533531
135000,121179.52979206288
102776,78142.22775657463
260400,242607.38630342315
134450,120811.65364440653
187000,231339.83224147424
173000,192479.50795946416
239000,268017.9401353248
122900,112193.35270851111
240000,271289.5306307367
251000,254642.73412671225
149700,157109.48956246697
101800,84056.01990197151
142953,141327.52742045769
109000,113450.15813229681
224000,215386.75964876078
203000,203903.1895221159
144900,124781.63844727603
145000,131195.67356401385
178000,186823.63664687908
233230,238164.80394946877
180500,202974.86145560705
164500,123388.74632051744
132000,134634.7768984172
178000,198588.11665250338
153500,188013.71117850614
190000,231717.4020032002
241000,216337.55591351894
147000,174852.97882801393
148000,155451.13030379452
270000,273924.3333802318
232000,240588.01114135573
380000,359399.7129082705
263435,242954.68032841675
128000,194702.37003727804
79000,104636.19684291782
106000,104094.38748774165
158500,129931.86142011115
207000,214753.2210685665
207500,208671.86418932787
394432,344633.44047511485
95000,142432.47936060416
277500,298480.99190396065
157000,155796.60479050205
166000,187224.05843887362
143000,135109.14374731603
173733,168806.10309177026
110000,123300.58101843216
155000,203793.76497329288
223500,151619.5771752986
143500,164033.73742615135
187500,241475.06311293447
140000,201799.37294798263
82500,187878.971516074
189000,217097.1580543277
179900,234404.70436834905
258000,243923.24026309347
124500,129071.11708467826
130000,144358.24591117818
113000,77519.43719479308
230000,209443.88641839242
190000,202735.18461618177
153500,154736.81040621782
197000,204056.2211300908
150000,131557.8094454286
200000,198379.7272740524
190000,223069.8370788446
145500,148782.62267657794
166000,144096.10943566123
204750,193218.98987645598
135000,153356.50745357975
225000,205205.60541748838
132500,155018.8567628233
119200,125054.80097231508
206000,211730.14858901518
201000,253742.2333390392
157500,154162.10932687542
155000,155558.60043940105
120500,110681.55742069805
135000,127901.25245361082
412500,372862.9944493398
372500,320150.12916318997
131500,146802.17134975002
220000,232511.43902018975
105000,109955.79774182616
192000,216520.18561409588
193500,216834.72197712492
90000,107526.85660866485
339750,310974.27456904144
120000,121264.95172907447
239900,241175.8182230561
127500,147988.51180265093
254000,219320.3396170939
148000,132174.70444614493
271000,233302.54723907955
185000,195323.1455030277
335000,319699.43786832935
117000,166918.1087365799
179665,238819.06377944959
134800,137699.76357527322
315750,272278.4670322406
188500,211257.10656457278
121600,116258.26772635343
139000,139771.9140112166
192000,193711.01399477926
100000,121618.32999518263
266000,306900.06871616526
133000,119888.16175275616
192140,192402.26023284585
114500,110584.28092158947
80000,93548.41518682789
386250,393778.5704797245
167900,196518.32767669705
178900,196079.31677947284
126000,105884.83697619603
245000,244275.32141824922
336000,302371.58764026046
170000,192578.63286897435
118000,140447.8617141656
157900,135497.20633379556
151000,198073.80445824144
305900,270866.56665389915
233170,212097.39658214644
375000,331095.39260731306
385000,358758.85182290006
112000,163895.8184291562
205000,217241.34640909685
176432,183668.73819849867
186500,203813.5005873703
172500,154891.95900387986
149900,120253.01552193152
290000,246352.9562986109
179900,166477.89069094247
120000,111968.29768851801
280000,254187.26807525434
110000,109828.11300143471
319900,305331.77275167545
154000,153033.14272179478
143900,160490.5140030454
135000,113175.29915971751
240000,219785.09333340736
385000,340947.77765436756
138500,142533.30362608074
333168,293725.1346518841
99500,116512.97209797241
157000,166277.06968602753
197000,236743.99906020449
120000,104361.23827928689
103000,83534.06191709975
175500,181335.12401168555
248328,255947.02286222958
215000,210162.3023036964
130000,67625.41459492972
265900,259520.14010249905
625000,414349.408661817
150750,159616.9877337882
126000,105844.78955170361
110000,130829.71191878797
267000,263570.0501327367
174900,137566.56484559237
139500,168468.9558559988
213490,191871.2760009495
290000,301356.21596752765
240000,240893.8813524621
97000,94878.37797831913
108000,126293.27112872136
218000,238274.6858008873
230000,204165.79005520063
176485,209025.38341009634
130000,147481.84343281883
555000,387777.38111084123
133500,149452.30151732056
156000,153738.3434697027
159895,203088.51457381865
228500,266483.95299671154
190000,216193.77952349238
129000,142365.7447085373
187500,252435.09382229648
320000,347965.2792280518
189000,185782.56095538527
164700,174508.84883919143
119000,103619.6156762517
179000,178592.150239425
110000,140673.44922389177
189000,221375.58259342297
137000,146139.97624303482
239000,219959.68234686513
139000,161878.56821529852
160000,173135.80226966046
129500,130742.91078690893
91500,129492.25307570602
227000,266803.9807183647
207500,215461.73186704074
190000,213606.0454255201
